,MoleculeID,CERAPP_Ago_pred,CERAPP_Anta_pred,CERAPP_Bind_pred,CoMPARA_Ago_pred,CoMPARA_Anta_pred,CoMPARA_Bind_pred,CATMoS_VT_pred,CATMoS_NT_pred,CATMoS_EPA_pred,CATMoS_GHS_pred,CATMoS_LD50_pred,dtxsid,group_str,final_picks
2869,DTXSID2044975,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1300.0,DTXSID2044975,"('Organic nitrogen compounds', 6.0)",
2870,DTXSID60889035,0.0,0.0,0,1.0,0.0,1,0,1,3,5,2222.0,DTXSID60889035,"('Fatty Acyls', 1.0)",
2871,DTXSID9058995,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1045.0,DTXSID9058995,"('Benzene and substituted derivatives', 3.0)",
2872,DTXSID10887480,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2463.0,DTXSID10887480,"('Benzene and substituted derivatives', 4.0)",
2873,DTXSID6027397,0.0,0.0,0,1.0,0.0,1,0,1,4,5,7808.0,DTXSID6027397,"('Fatty Acyls', 5.0)",
2874,DTXSID90965533,0.0,0.0,0,0.0,0.0,0,0,1,4,5,5142.0,DTXSID90965533,"('Carboxylic acids and derivatives', 1.0)",
2875,DTXSID3044411,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1041.0,DTXSID3044411,"('Piperidines', nan)",
2876,DTXSID2020898,0.0,0.0,0,0.0,1.0,0,1,0,1,2,47.0,DTXSID2020898,"('Indoles and derivatives', nan)",
2877,DTXSID4048191,0.0,0.0,0,0.0,1.0,1,0,0,3,4,1047.0,DTXSID4048191,"('Benzene and substituted derivatives', 10.0)",
2878,DTXSID5026413,0.0,0.0,0,0.0,0.0,0,0,0,3,4,928.0,DTXSID5026413,"('Organometallic compounds', 2.0)",
2879,DTXSID6025480,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2463.0,DTXSID6025480,"('Epoxides', nan)",
2880,DTXSID2051683,0.0,1.0,1,0.0,0.0,0,0,1,3,5,3927.0,DTXSID2051683,"('Benzene and substituted derivatives', 8.0)",
2881,DTXSID70883943,0.0,0.0,0,0.0,0.0,0,0,1,3,5,3727.0,DTXSID70883943,"('Fatty Acyls', 1.0)",
2882,DTXSID80867355,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2213.0,DTXSID80867355,"('Benzene and substituted derivatives', 8.0)",
2883,DTXSID60887455,0.0,0.0,0,0.0,0.0,0,0,0,3,4,859.0,DTXSID60887455,"('Piperidines', nan)",
2884,DTXSID6022050,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2467.0,DTXSID6022050,"('Benzene and substituted derivatives', 8.0)",
2885,DTXSID3021560,0.0,0.0,0,0.0,0.0,0,0,0,2,3,227.0,DTXSID3021560,"('Organohalogen compounds', 4.0)",
2886,DTXSID5068493,0.0,0.0,0,0.0,1.0,1,0,0,3,4,1457.0,DTXSID5068493,"('Organic nitrogen compounds', 2.0)",
2887,DTXSID5026839,0.0,0.0,0,0.0,0.0,0,0,1,4,5,10041.0,DTXSID5026839,"('Fatty Acyls', 3.0)",
